 Iteration   Func-count     min f(x)         Procedure
   447          782          3.93964         reflect
   448          783          3.93964         reflect
   449          785          3.93964         contract inside
   450          786          3.93964         reflect
   451          787          3.93964         reflect
   452          789          3.93964         contract outside
   453          791          3.93964         contract inside
   454          810          3.93964         shrink
   455          811          3.93964         reflect
   456          812          3.93964         reflect
   457          813          3.93964         reflect
   458          814          3.93964         reflect
   459          815          3.93964         reflect
   460          816          3.93964         reflect
   461          835          3.93963         shrink
   462          836          3.93963         reflect
   463          837          3.93963         reflect
   464          838          3.93963         reflect
   465          839          3.93963         reflect
   466          840          3.93963         reflect
   467          841          3.93963         reflect
   468          842          3.93963         reflect
   469          843          3.93963         reflect
   470          862          3.93963         shrink
   471          863          3.93963         reflect
   472          864          3.93963         reflect
   473          865          3.93963         reflect
   474          866          3.93963         reflect
   475          867          3.93963         reflect
   476          868          3.93963         reflect
   477          887          3.93963         shrink
   478          888          3.93963         reflect
   479          889          3.93963         reflect
   480          890          3.93963         reflect
   481          892          3.93963         contract inside
   482          893          3.93963         reflect
   483          894          3.93963         reflect
   484          913          3.93963         shrink
   485          914          3.93963         reflect
   486          915          3.93963         reflect
   487          916          3.93963         reflect
   488          917          3.93963         reflect
   489          918          3.93963         reflect
   490          919          3.93963         reflect
   491          920          3.93963         reflect
   492          922          3.93963         contract inside
   493          923          3.93963         reflect
   494          924          3.93963         reflect
   495          943          3.93963         shrink
   496          944          3.93963         reflect
   497          945          3.93963         reflect
   498          946          3.93963         reflect
   499          948          3.93963         contract inside
   500          949          3.93963         reflect
   501          968          3.93963         shrink
   502          969          3.93963         reflect
   503          970          3.93963         reflect
   504          971          3.93963         reflect
   505          972          3.93963         reflect
   506          973          3.93963         reflect
   507          974          3.93963         reflect
   508          976          3.93963         contract inside
   509          977          3.93963         reflect
   510          978          3.93963         reflect
   511          979          3.93963         reflect
   512          998          3.93963         shrink
   513          999          3.93963         reflect
   514         1000          3.93963         reflect
   515         1001          3.93963         reflect
   516         1002          3.93963         reflect
   517         1021          3.93963         shrink
   518         1022          3.93963         reflect
   519         1024          3.93963         contract outside
   520         1025          3.93963         reflect
   521         1026          3.93963         reflect
   522         1027          3.93963         reflect
   523         1028          3.93963         reflect
   524         1047          3.93963         shrink
   525         1048          3.93963         reflect
   526         1050          3.93963         contract inside
   527         1069          3.93963         shrink
   528         1070          3.93963         reflect
   529         1071          3.93963         reflect
   530         1072          3.93963         reflect
   531         1074          3.93963         contract inside
   532         1075          3.93963         reflect
   533         1077          3.93963         contract inside
   534         1078          3.93963         reflect
   535         1080          3.93963         contract inside
   536         1081          3.93963         reflect
   537         1082          3.93963         reflect
   538         1083          3.93963         reflect
   539         1085          3.93963         contract inside
   540         1104          3.93963         shrink
   541         1105          3.93963         reflect
   542         1106          3.93963         reflect
   543         1107          3.93963         reflect
   544         1109          3.93963         contract inside
   545         1110          3.93963         reflect
   546         1129          3.93963         shrink
   547         1130          3.93963         reflect
   548         1131          3.93963         reflect
   549         1132          3.93963         reflect
   550         1133          3.93963         reflect
   551         1134          3.93963         reflect
   552         1136          3.93963         contract inside
   553         1137          3.93963         reflect
   554         1139          3.93963         contract inside
   555         1140          3.93963         reflect
   556         1141          3.93963         reflect
   557         1142          3.93963         reflect
   558         1144          3.93963         contract inside
   559         1146          3.93963         contract inside
   560         1147          3.93963         reflect
   561         1148          3.93963         reflect
   562         1167          3.93963         shrink
   563         1168          3.93963         reflect
   564         1169          3.93963         reflect
   565         1170          3.93963         reflect
   566         1171          3.93963         reflect
   567         1172          3.93963         reflect
   568         1173          3.93963         reflect
   569         1174          3.93963         reflect
   570         1175          3.93963         reflect
   571         1176          3.93963         reflect
   572         1177          3.93963         reflect
   573         1178          3.93963         reflect
   574         1179          3.93963         reflect
   575         1181          3.93963         contract inside
   576         1200          3.93963         shrink
   577         1202          3.93963         contract outside
   578         1203          3.93963         reflect
   579         1204          3.93963         reflect
   580         1205          3.93963         reflect
   581         1206          3.93963         reflect
   582         1207          3.93963         reflect
   583         1209          3.93963         contract inside
   584         1210          3.93963         reflect
   585         1229          3.93963         shrink
   586         1230          3.93963         reflect
   587         1232          3.93963         contract inside
   588         1233          3.93963         reflect
   589         1234          3.93963         reflect
   590         1253          3.93963         shrink
   591         1254          3.93963         reflect
   592         1255          3.93963         reflect
   593         1257          3.93963         contract inside
   594         1258          3.93963         reflect
   595         1259          3.93963         reflect
   596         1260          3.93963         reflect
   597         1261          3.93963         reflect
   598         1262          3.93963         reflect
   599         1263          3.93963         reflect
   600         1264          3.93963         reflect
   601         1265          3.93963         reflect
   602         1266          3.93963         reflect
   603         1267          3.93963         reflect
   604         1268          3.93963         reflect
   605         1270          3.93963         contract inside
   606         1272          3.93963         contract inside
   607         1273          3.93963         reflect
   608         1292          3.93963         shrink
   609         1293          3.93963         reflect
   610         1294          3.93963         reflect
   611         1295          3.93963         reflect
   612         1296          3.93963         reflect
   613         1297          3.93963         reflect
   614         1298          3.93963         reflect
   615         1299          3.93963         reflect
   616         1301          3.93963         contract inside
   617         1302          3.93963         reflect
   618         1321          3.93963         shrink
   619         1322          3.93963         reflect
   620         1323          3.93963         reflect
   621         1324          3.93963         reflect
   622         1343          3.93963         shrink
   623         1344          3.93963         reflect
   624         1345          3.93963         reflect
   625         1364          3.93963         shrink
   626         1365          3.93963         reflect
   627         1366          3.93963         reflect
   628         1367          3.93963         reflect
   629         1368          3.93963         reflect
   630         1369          3.93963         reflect
   631         1370          3.93963         reflect
