Multi-objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverintermediate
SelectionFcn:      @selectiontournament
MutationFcn:       @mutationadaptfeasible

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
Generation   Func-count    Pareto distance    Pareto spread
  331         66200        0.00973075            1.2345
  332         66400        0.00972162           1.29012
  333         66600        0.00972599           1.30201
  334         66800        0.00971262           1.27678
  335         67000        0.00971958             1.289
  336         67200        0.00972095           1.23201
  337         67400        0.00970101           1.25263
  338         67600         0.0097831           1.27662
  339         67800        0.00977548           1.25862
  340         68000        0.00977365           1.25495
  341         68200        0.00979002           1.28145
  342         68400        0.00978487           1.26883
  343         68600        0.00977304           1.25205
  344         68800        0.00979171           1.28201
  345         69000        0.00978974           1.27956
  346         69200        0.00978232           1.26731
  347         69400        0.00973324           1.23395
  348         69600        0.00972534            1.2927
  349         69800        0.00974336           1.31776
  350         70000        0.00972532            1.2886
  351         70200        0.00988826           1.07618
  352         70400        0.00991373           1.17819
  353         70600        0.00989575           1.08932
  354         70800        0.00973493           1.09708
  355         71000         0.0101256           1.23652
  356         71200         0.0104992           1.18039
  357         71400        0.00983402           1.26561
  358         71600        0.00978727            1.2567
  359         71800         0.0106653           1.18494
  360         72000         0.0101436           1.24561

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  361         72200        0.00981472           1.24982
  362         72400         0.0100937           1.24698
  363         72600        0.00993389           1.09375
  364         72800        0.00993854           1.19151
  365         73000        0.00984659           1.20087
  366         73200        0.00978743           1.19673
  367         73400         0.0102016           1.12448
  368         73600         0.0111553           1.01959
  369         73800         0.0113601           0.97247
  370         74000         0.0110738            1.0006
  371         74200         0.0111384          0.986308
  372         74400         0.0108222           1.00968
  373         74600         0.0108138            1.0148
  374         74800         0.0109522           1.02101
  375         75000         0.0120591          0.911275
  376         75200        0.00923022          0.733226
  377         75400        0.00956834          0.689379
  378         75600        0.00908138          0.764405
  379         75800        0.00865374          0.790244
  380         76000         0.0112893           1.02017
  381         76200         0.0108384            1.0941
  382         76400          0.010451           1.15892
  383         76600         0.0102237           1.19235
  384         76800         0.0103853           1.21491
  385         77000         0.0100979           1.25876
  386         77200        0.00995566           1.27921
  387         77400        0.00993098           1.27604
  388         77600        0.00993408           1.17187
  389         77800        0.00997284           1.25234
  390         78000        0.00996028           1.25076

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  391         78200        0.00995298           1.24984
  392         78400         0.0083132           0.93486
  393         78600        0.00797308           1.00122
  394         78800        0.00795108          0.999461
  395         79000        0.00802811          0.989651
  396         79200         0.0079764          0.944436
  397         79400         0.0079524          0.966663
  398         79600        0.00802206           0.95936
  399         79800        0.00803119           1.01134
  400         80000         0.0100337           1.11226
  401         80200         0.0100302           1.23984
  402         80400          0.010048           1.18076
  403         80600        0.00999653           1.19981
  404         80800         0.0100016           1.19879
  405         81000        0.00997444           1.19094
  406         81200        0.00993961           1.18662
  407         81400        0.00994019           1.22436
  408         81600        0.00993359           1.18863
  409         81800        0.00999606           1.22049
  410         82000        0.00994251           1.08856
  411         82200        0.00992922           1.17867
  412         82400        0.00994007           1.18818
  413         82600        0.00992899           1.16173
  414         82800        0.00991195           1.20486
  415         83000        0.00989862           1.18767
  416         83200        0.00986558           1.10065
  417         83400        0.00988189           1.21145
  418         83600        0.00986802           1.19388
  419         83800         0.0098817           1.18007
  420         84000          0.010465           1.07609

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  421         84200         0.0104515           1.25284
  422         84400         0.0113198           1.13448
  423         84600         0.0152152          0.716327
  424         84800         0.0157913          0.619543
  425         85000          0.014849          0.733249
  426         85200         0.0137911          0.746818
  427         85400         0.0129298          0.865059
  428         85600         0.0116704          0.938193
  429         85800         0.0118998          0.914121
  430         86000         0.0118225          0.929298
  431         86200        0.00888697          0.793813
  432         86400         0.0110922           1.01909
  433         86600         0.0109017            1.0676
  434         86800         0.0109309           1.04424
  435         87000         0.0103861           1.14243
  436         87200         0.0100981           1.03171
  437         87400         0.0106551           1.08584
  438         87600         0.0101267           1.15873
  439         87800          0.010782           1.09877
  440         88000         0.0106372           1.12205
  441         88200         0.0101551           1.18014
  442         88400         0.0123001           1.35657
  443         88600         0.0113701           1.50032
  444         88800         0.0112076           1.32658
  445         89000         0.0111464           1.40196
  446         89200         0.0111454           1.40184
  447         89400         0.0106147           1.23758
  448         89600         0.0105321           1.22795
  449         89800         0.0105287           1.22756
  450         90000         0.0103143           1.20256

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  451         90200         0.0102576           1.19594
  452         90400         0.0101219           1.17313
  453         90600         0.0101738           1.17915
  454         90800        0.00999162           1.15804
  455         91000        0.00998322           1.15706
  456         91200        0.00983151           1.10393
  457         91400         0.0098717           1.16701
  458         91600        0.00979528           1.10807
  459         91800        0.00988836           1.17674
  460         92000        0.00977833           1.18128
  461         92200        0.00972355           1.17466
  462         92400        0.00970055           1.12562
  463         92600        0.00969694           1.15409
  464         92800        0.00968217           1.15233
  465         93000        0.00980861           1.13345
  466         93200        0.00973044           1.14171
  467         93400         0.0100025           1.12029
  468         93600         0.0101351            1.0991
  469         93800         0.0101376           1.09938
  470         94000        0.00986787            1.1403
  471         94200        0.00975106           1.12626
  472         94400        0.00979309           1.20266
  473         94600        0.00978847           1.19767
  474         94800        0.00974107           1.20847
  475         95000        0.00972946           1.20449
  476         95200        0.00985919           1.17289
  477         95400        0.00973604           1.19387
  478         95600        0.00979803            1.2174
  479         95800        0.00988959           1.21014
  480         96000         0.0100518           1.23617

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  481         96200         0.0100283           1.24466
  482         96400         0.0100448           1.23896
  483         96600         0.0100264           1.22943
  484         96800         0.0103044           1.18981
  485         97000        0.00999317           1.20081
  486         97200        0.00999382            1.2309
  487         97400        0.00999661           1.23451
  488         97600        0.00999537           1.23297
  489         97800        0.00998506           1.23169
  490         98000        0.00999029           1.24089
  491         98200        0.00998317           1.23558
  492         98400        0.00998366           1.23557
  493         98600          0.009992           1.23655
  494         98800         0.0110337           1.05473
  495         99000         0.0113627           1.01474
  496         99200         0.0112674           1.02905
  497         99400         0.0111031            1.0546
  498         99600         0.0108493           1.08995
  499         99800         0.0109259           1.07769
  500        100000         0.0112742           1.02968
  501        100200        0.00908417           1.00138
  502        100400        0.00868304           1.05513
  503        100600        0.00858889           1.04187
  504        100800        0.00858403           1.05986
  505        101000        0.00880571           1.02217
  506        101200        0.00853271           1.05353
  507        101400        0.00896035           1.04012
  508        101600        0.00874249           1.08677
  509        101800          0.008733           1.08573
  510        102000        0.00871824           1.08451

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  511        102200         0.0113177           1.12905
  512        102400         0.0124207            1.2421
  513        102600         0.0124232           1.24436
  514        102800         0.0124477           1.17338
  515        103000         0.0124208           1.29345
  516        103200         0.0124043           1.27477
  517        103400         0.0124026           1.27565
  518        103600         0.0123938           1.15503
  519        103800         0.0123972           1.25328
  520        104000         0.0124035           1.25547
  521        104200         0.0123946           1.24385
  522        104400         0.0124709           1.23146
  523        104600         0.0123964           1.18664
  524        104800         0.0123935           1.27066
  525        105000          0.012391           1.25926
  526        105200         0.0124693           1.24504
  527        105400         0.0123996           1.26967
  528        105600         0.0124003           1.27206
  529        105800          0.012394           1.26465
  530        106000         0.0123946           1.25004
  531        106200         0.0124632           1.23601
  532        106400         0.0123941           1.25631
