Single objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  420            80010           2.678           5.802        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  421            80200           2.677           8.685        0
  422            80390           2.677           11.69        1
  423            80580           2.677           14.16        0
  424            80770           2.677           13.74        0
  425            80960           2.677           14.26        1
  426            81150           2.677            15.2        0
  427            81340           2.677           17.15        1
  428            81530           2.677           17.38        2
  429            81720           2.677           12.18        3
  430            81910           2.677           7.782        4
  431            82100           2.677           5.671        5
  432            82290           2.677           4.619        6
  433            82480           2.677           3.721        0
  434            82670           2.677            3.35        1
  435            82860           2.676           3.073        0
  436            83050           2.676           3.084        1
  437            83240           2.676           2.917        2
  438            83430           2.676           2.879        0
  439            83620           2.676           2.833        0
  440            83810           2.676           3.007        1
  441            84000           2.675           3.023        0
  442            84190           2.675           3.086        1
  443            84380           2.675           2.909        0
  444            84570           2.674           2.969        0
  445            84760           2.674           3.508        1
  446            84950           2.674            3.46        0
  447            85140           2.674           3.753        0
  448            85330           2.674           4.927        1
  449            85520           2.674            4.33        2
  450            85710           2.674           3.875        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  451            85900           2.674           3.884        1
  452            86090           2.674           3.722        0
  453            86280           2.674           4.043        0
  454            86470           2.674           4.557        0
  455            86660           2.674           7.376        1
  456            86850           2.674            6.81        2
  457            87040           2.674            5.74        3
  458            87230           2.674           4.884        0
  459            87420           2.674           4.096        1
  460            87610           2.674           3.793        2
  461            87800           2.674           3.123        0
  462            87990           2.674            3.09        1
  463            88180           2.674           2.931        2
  464            88370           2.674            2.82        3
  465            88560           2.674           2.774        0
  466            88750           2.674           2.776        0
  467            88940           2.674           2.865        0
  468            89130           2.674           3.137        0
  469            89320           2.673           3.534        0
  470            89510           2.673           4.392        1
  471            89700           2.673             4.3        0
  472            89890           2.673           4.176        0
  473            90080           2.673            6.24        1
  474            90270           2.673           6.317        2
  475            90460           2.673           4.466        0
