Multi-objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverintermediate
SelectionFcn:      @selectiontournament
MutationFcn:       @mutationadaptfeasible

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  587        117400        0.00667524           3.03585
  588        117600        0.00667473           3.02471
  589        117800        0.00667419           3.01257
  590        118000        0.00667519           3.03675
  591        118200        0.00667483           3.02861
  592        118400        0.00667476           3.02682
  593        118600        0.00667547           3.04165
  594        118800        0.00667531           3.03895
  595        119000        0.00667551           3.04471
  596        119200        0.00667537           3.04155
  597        119400        0.00667541           3.04062
  598        119600         0.0067238           3.00222
  599        119800        0.00672472             3.023
  600        120000        0.00672417            3.0116

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  601        120200          0.006724           3.00416
  602        120400        0.00672467            3.0206
  603        120600          0.006725           3.02764
  604        120800        0.00672413           3.00922
  605        121000        0.00672314           2.98825
  606        121200        0.00672412           2.99012
  607        121400        0.00672541           3.01789
  608        121600        0.00672425           2.99573
  609        121800        0.00672568           3.02413
  610        122000         0.0067242           2.99053
  611        122200        0.00672529           3.01346
  612        122400        0.00672515           3.01138
  613        122600        0.00672483           3.00978
  614        122800        0.00672428           2.99676
  615        123000        0.00672459           3.00289
  616        123200        0.00672558           3.02567
  617        123400        0.00672459           3.00597
  618        123600         0.0067239            2.9899
  619        123800        0.00684469           3.03525
  620        124000        0.00679676           2.99126
  621        124200        0.00679683            3.1048
  622        124400        0.00679626           3.09238
  623        124600        0.00679652           3.09651
  624        124800        0.00679683           3.09814
  625        125000        0.00679616           3.08284
  626        125200        0.00679704           3.09639
  627        125400        0.00684694           3.07078
  628        125600        0.00684703           3.07356
  629        125800         0.0068463           3.05721
  630        126000        0.00684833           3.05872

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  631        126200         0.0068485             3.064
  632        126400        0.00684764           3.04636
  633        126600        0.00723844           2.10793
  634        126800        0.00680354           3.22828
  635        127000        0.00680518           3.28605
  636        127200        0.00680537           3.29268
  637        127400        0.00743336           2.19131
  638        127600        0.00709228           1.60558
  639        127800        0.00687188            2.9855
  640        128000        0.00680174            2.9998
  641        128200         0.0120407           1.54968
  642        128400         0.0120341           1.54884
  643        128600         0.0126149           1.46123
  644        128800         0.0126204           1.46186
  645        129000         0.0120349           1.54893
  646        129200         0.0117693            1.5905
Optimization terminated: time limit exceeded.
