Single objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  544           103570           3.436           7.682        3
  545           103760           3.436           5.914        4
  546           103950           3.436           5.186        0
  547           104140           3.436           4.649        1
  548           104330           3.436            4.31        2
  549           104520           3.436           4.056        3
  550           104710           3.436           4.139        4
  551           104900           3.436           3.659        0
  552           105090           3.436           4.208        1
  553           105280           3.436           4.494        0
  554           105470           3.436           4.639        0
  555           105660           3.436           4.348        0
  556           105850           3.436           3.682        0
  557           106040           3.436           3.925        0
  558           106230           3.436           4.357        0
  559           106420           3.436           5.402        1
  560           106610           3.436           5.169        0
  561           106800           3.436            5.82        1
  562           106990           3.436           5.415        2
  563           107180           3.436           5.133        0
  564           107370           3.436           4.846        1
  565           107560           3.436           4.664        2
  566           107750           3.436           4.663        3
  567           107940           3.436           4.252        0
  568           108130           3.436           4.494        1
  569           108320           3.436           4.318        0
  570           108510           3.436           3.906        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  571           108700           3.436           3.736        2
  572           108890           3.436            4.04        0
  573           109080           3.436           3.924        0
  574           109270           3.436            3.67        1
  575           109460           3.436           4.816        0
  576           109650           3.436           4.217        1
  577           109840           3.436           4.274        0
  578           110030           3.436           4.043        0
  579           110220           3.436           4.015        0
  580           110410           3.436           4.581        0
  581           110600           3.436           4.983        0
  582           110790           3.436           6.466        0
  583           110980           3.436           9.877        1
  584           111170           3.436           9.287        2
  585           111360           3.436           8.596        3
  586           111550           3.436           7.003        4
  587           111740           3.436           6.322        5
  588           111930           3.436           4.649        6
  589           112120           3.436           4.065        7
  590           112310           3.436           3.953        0
  591           112500           3.436           3.979        1
  592           112690           3.436           3.883        0
  593           112880           3.436           3.726        1
  594           113070           3.436            3.99        0
  595           113260           3.436           3.693        0
  596           113450           3.436           4.137        0
  597           113640           3.436           4.224        0
  598           113830           3.436           4.429        0
  599           114020           3.436           5.526        0
  600           114210           3.436           7.206        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  601           114400           3.436           8.704        0
  602           114590           3.436           12.04        1
  603           114780           3.436           11.51        0
  604           114970           3.436           16.34        0
  605           115160           3.436           18.52        0
  606           115350           3.436           29.27        0
  607           115540           3.436           29.35        1
  608           115730           3.436           33.77        0
  609           115920           3.436           35.47        1
  610           116110           3.436           30.67        2
  611           116300           3.436           23.31        3
  612           116490           3.436           18.28        4
  613           116680           3.436           14.97        5
  614           116870           3.436           12.43        6
  615           117060           3.436           8.729        7
  616           117250           3.436           7.487        8
  617           117440           3.436           5.452        9
  618           117630           3.436           4.715       10
  619           117820           3.436           4.578       11
  620           118010           3.436           4.165       12
  621           118200           3.436           3.865        0
  622           118390           3.436           4.537        1
  623           118580           3.436           4.293        0
  624           118770           3.436           4.366        0
  625           118960           3.436           4.306        1
  626           119150           3.436           4.014        0
  627           119340           3.436           3.762        0
  628           119530           3.436           3.774        1
  629           119720           3.436           3.736        0
  630           119910           3.436           3.786        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  631           120100           3.436           3.836        0
  632           120290           3.436            3.73        0
  633           120480           3.436           3.969        1
  634           120670           3.436           4.355        2
  635           120860           3.436           3.832        0
  636           121050           3.436           3.716        1
  637           121240           3.436           3.894        2
  638           121430           3.436           3.971        0
  639           121620           3.436            3.81        1
  640           121810           3.436           3.989        0
  641           122000           3.436           3.759        0
  642           122190           3.436           3.761        0
  643           122380           3.436           3.818        0
  644           122570           3.436           4.306        1
  645           122760           3.435           4.775        0
  646           122950           3.435           4.487        0
  647           123140           3.435           5.706        1
  648           123330           3.435           4.886        0
  649           123520           3.435           5.709        1
  650           123710           3.435           4.925        2
  651           123900           3.435           4.604        3
  652           124090           3.435           4.307        0
  653           124280           3.435           4.357        0
  654           124470           3.435           4.641        1
  655           124660           3.435           4.574        2
  656           124850           3.435           4.411        3
  657           125040           3.435           4.229        0
  658           125230           3.435           4.237        0
  659           125420           3.435           3.981        0
  660           125610           3.435           4.577        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  661           125800           3.435            5.69        0
  662           125990           3.435           8.388        1
  663           126180           3.435           7.115        2
  664           126370           3.435           5.985        3
  665           126560           3.435           5.483        4
  666           126750           3.435           5.051        5
  667           126940           3.435           4.183        6
  668           127130           3.435           4.349        7
  669           127320           3.435           4.359        0
  670           127510           3.435           4.427        0
  671           127700           3.435           3.884        1
  672           127890           3.435           3.945        0
  673           128080           3.435           3.762        1
  674           128270           3.435           3.779        0
  675           128460           3.435           4.072        0
  676           128650           3.435            3.74        0
  677           128840           3.435           3.881        1
  678           129030           3.435           3.859        0
  679           129220           3.435           4.168        0
  680           129410           3.435           4.495        1
  681           129600           3.435           4.151        2
  682           129790           3.435           3.877        0
  683           129980           3.435           4.547        0
  684           130170           3.435           4.637        1
  685           130360           3.435           4.577        0
  686           130550           3.435           4.804        1
  687           130740           3.435           4.538        2
  688           130930           3.435            4.56        3
  689           131120           3.435           4.136        0
  690           131310           3.435            3.86        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  691           131500           3.435           3.869        0
  692           131690           3.435           3.921        1
  693           131880           3.435            3.84        0
  694           132070           3.435           4.141        0
  695           132260           3.435           4.042        0
  696           132450           3.435           4.345        0
