Multi-objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverintermediate
SelectionFcn:      @selectiontournament
MutationFcn:       @mutationadaptfeasible

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  434         86800        0.00649862          0.570801
  435         87000        0.00579987          0.737891
  436         87200        0.00585182          0.534913
  437         87400        0.00576596          0.524874
  438         87600         0.0056245           0.51752
  439         87800         0.0050793          0.589758
  440         88000         0.0050736          0.695153
  441         88200        0.00533652          0.650377
  442         88400        0.00502432          0.860734
  443         88600        0.00503208          0.732825
  444         88800        0.00541753          0.785152
  445         89000        0.00497769          0.751585
  446         89200        0.00486346          0.782794
  447         89400        0.00486661          0.846837
  448         89600        0.00491696          0.776801
  449         89800        0.00528351          0.898279
  450         90000        0.00529691            0.8089

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  451         90200        0.00529401          0.808456
  452         90400        0.00529016          0.835453
  453         90600         0.0050985          0.900103
  454         90800        0.00517984          0.930225
  455         91000         0.0050072          0.762995
  456         91200        0.00529247          0.699923
  457         91400        0.00530009          0.735404
  458         91600        0.00519245          0.789636
  459         91800        0.00497755          0.741584
  460         92000        0.00505243          0.841298
  461         92200        0.00472617          0.765621
  462         92400        0.00464182          0.660606
  463         92600        0.00464696           0.66841
  464         92800        0.00468939          0.768456
  465         93000        0.00466224          0.687706
  466         93200        0.00464213          0.688232
  467         93400        0.00458982          0.672412
  468         93600        0.00459626          0.665174
  469         93800        0.00459116          0.678412
  470         94000        0.00458617           0.71807
  471         94200        0.00456118          0.646721
  472         94400        0.00459267          0.633898
  473         94600        0.00460261          0.649157
  474         94800        0.00459639          0.802085
  475         95000        0.00459311          0.675597
  476         95200        0.00460352          0.671778
  477         95400         0.0045978          0.677007
  478         95600        0.00456917          0.686071
  479         95800        0.00455544          0.667445
  480         96000         0.0045384          0.674977

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  481         96200         0.0045771          0.682807
  482         96400        0.00459282          0.671577
  483         96600        0.00463202          0.688551
  484         96800        0.00457526          0.676935
  485         97000        0.00455541          0.670355
  486         97200        0.00454328          0.665747
  487         97400        0.00457913          0.683921
  488         97600        0.00457238           0.68571
  489         97800        0.00459395          0.696791
  490         98000         0.0045686          0.676203
  491         98200        0.00456484          0.673653
  492         98400        0.00459076          0.680167
  493         98600        0.00456868          0.676161
  494         98800         0.0045553          0.668153
  495         99000        0.00456898          0.663223
  496         99200        0.00460388          0.695285
  497         99400        0.00458406          0.682202
  498         99600        0.00454029          0.660103
  499         99800        0.00454686          0.718607
  500        100000        0.00452483          0.653483
  501        100200        0.00454364          0.662742
  502        100400         0.0046949          0.623493
  503        100600        0.00477209          0.700585
  504        100800        0.00481186          0.588422
  505        101000        0.00485477          0.573199
  506        101200        0.00474962          0.600839
  507        101400        0.00477573          0.768155
  508        101600        0.00470638          0.642819
  509        101800        0.00465841          0.782076
  510        102000        0.00462058          0.715652

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  511        102200        0.00463666          0.644076
  512        102400        0.00461617          0.641738
  513        102600        0.00459584          0.641567
  514        102800        0.00459083          0.644966
  515        103000        0.00458475          0.655939
  516        103200        0.00454626          0.741978
  517        103400        0.00453456          0.628183
  518        103600        0.00453668          0.619695
  519        103800        0.00473418          0.650548
  520        104000        0.00465692          0.662526
  521        104200        0.00472554          0.674217
  522        104400        0.00471071          0.667315
  523        104600        0.00471495          0.672417
  524        104800        0.00465349          0.662598
  525        105000        0.00466807            0.6576
  526        105200        0.00466242          0.656071
  527        105400        0.00467594           0.65479
  528        105600        0.00465633          0.652958
  529        105800        0.00463062          0.924367
  530        106000        0.00469916          0.867903
  531        106200        0.00466291          0.681657
  532        106400        0.00467967          0.686372
  533        106600        0.00468764          0.700537
  534        106800        0.00458128           0.66411
  535        107000        0.00466038          0.652971
  536        107200        0.00461223          0.675682
  537        107400        0.00458525          0.684086
  538        107600        0.00495254          0.742719
  539        107800        0.00494108          0.729014
  540        108000        0.00490744          0.726359

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  541        108200         0.0049304          0.728192
  542        108400        0.00493239          0.733482
  543        108600        0.00493824          0.738497
  544        108800        0.00473507          0.718618
  545        109000        0.00470593          0.688956
  546        109200        0.00470309          0.743964
  547        109400        0.00474674          0.703371
  548        109600        0.00475165          0.705754
  549        109800        0.00473658          0.693266
  550        110000        0.00471399          0.693105
  551        110200          0.004728          0.704449
  552        110400        0.00469685          0.685283
  553        110600        0.00471235          0.694063
  554        110800        0.00471336          0.692381
  555        111000        0.00472172               0.7
  556        111200        0.00470861          0.687775
  557        111400        0.00472838          0.707119
  558        111600        0.00472711          0.703349
  559        111800        0.00471389          0.693441
  560        112000        0.00470471          0.685912
  561        112200        0.00484483          0.702701
  562        112400        0.00486888          0.725623
  563        112600        0.00484761          0.708159
  564        112800        0.00484295          0.707124
  565        113000        0.00483878          0.770044
  566        113200         0.0048329          0.726942
  567        113400        0.00481219          0.802766
  568        113600        0.00481538          0.718012
  569        113800         0.0048229          0.717998
  570        114000        0.00481369          0.712777

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  571        114200        0.00479952          0.715595
  572        114400        0.00484347          0.719775
  573        114600        0.00483342          0.728533
  574        114800        0.00484075          0.718879
  575        115000        0.00486733          0.733588
